ENF Site ID,Sub Region,Region,Latitude,TL,ES POC
ES2-JCA-05614,Jacobabad,Jacob Abad,28.21405   68.36832,Saif Ul Islam,Abdul Waheed
ES2-JCA-05615,Jacobabad,Jacob Abad,28.28157   68.44548,Saif Ul Islam,Abdul Waheed
ES2-JAF-05616,Dera Allah Yar,Jacob Abad,28.23304   68.11041,Saif Ul Islam,Abdul Waheed
ES2-NSD-05617,Dera Allah Yar,Jacob Abad,28.46787   68.27908,Saif Ul Islam,Abdul Waheed
ES2-NSD-05618,Dera Allah Yar,Jacob Abad,28.41027   67.90472,Saif Ul Islam,Abdul Waheed
ES2-NSD-05619,Dera Allah Yar,Jacob Abad,28.53301   68.22353,Saif Ul Islam,Abdul Waheed
ES2-JAF-05626,Dera Allah Yar,Jacob Abad,28.3827   68.35891,Saif Ul Islam,Abdul Waheed
ES2-JAF-05627,Dera Allah Yar,Jacob Abad,28.36866   68.33842,Saif Ul Islam,Abdul Waheed
ES2-NSD-05632,Dera Allah Yar,Jacob Abad,28.43971   68.08918,Saif Ul Islam,Abdul Waheed
ES2-NSD-05633,Dera Allah Yar,Jacob Abad,28.44744   68.19006,Saif Ul Islam,Abdul Waheed
ES2-DBG-05666,Sui,Jacob Abad,28.639342   69.214911,Saif Ul Islam,Abdul Waheed
ES2-JAF-05670,Dera Allah Yar,Jacob Abad,28.1814   68.06442,Saif Ul Islam,Abdul Waheed
ES2-GUD-05899,Kandhkot,Jacob Abad,28.42692   69.67761,Saif Ul Islam,Abdul Waheed
ES2-KKO-06413,Kandhkot,Jacob Abad,28.25142   69.18284,Saif Ul Islam,Abdul Waheed
ES2-SUI-06938,Sui,Jacob Abad,28.66469   69.18464,Saif Ul Islam,Abdul Waheed
ES2-SUI-06943,Sui,Jacob Abad,28.61979   69.19212,Saif Ul Islam,Abdul Waheed
ES2-SUI-06944,Sui,Jacob Abad,28.64757   69.18901,Saif Ul Islam,Abdul Waheed
ES2-JCA-07399,Jacobabad,Jacob Abad,28.29915   68.47476,Saif Ul Islam,Abdul Waheed
ES2-TWS-07520,Kandhkot,Jacob Abad,28.16504   69.13939,Saif Ul Islam,Abdul Waheed
ES2-KKO-07543,Kandhkot,Jacob Abad,28.22028   69.18317,Saif Ul Islam,Abdul Waheed
ES2-STM-07892,Dera Allah Yar,Jacob Abad,28.17187   68.048631,Saif Ul Islam,Abdul Waheed
ES2-JCA-07912,Jacobabad,Jacob Abad,28.26964   68.41568,Saif Ul Islam,Abdul Waheed
ES2-JCA-07913,Jacobabad,Jacob Abad,28.28887   68.424471,Saif Ul Islam,Abdul Waheed
ES2-KSH-07918,Kandhkot,Jacob Abad,28.43449   69.570626,Saif Ul Islam,Abdul Waheed
ES2-JCA-08395,Jacobabad,Jacob Abad,28.27824   68.42149,Saif Ul Islam,Abdul Waheed
ES2-JCA-08489,Jacobabad,Jacob Abad,28.280243   68.477217,Saif Ul Islam,Abdul Waheed
ES2-KKO-08745,Kandhkot,Jacob Abad,28.247052   69.1871,Saif Ul Islam,Abdul Waheed
ES2-LKI-01080,Shikarpur,Jacob Abad,27.849   68.70019,Saif Ul Islam,Abdul Waheed
ES2-RUS-01364,Shikarpur,Jacob Abad,27.96521   68.80406,Saif Ul Islam,Abdul Waheed
ES2-SCD-01366,Jacobabad,Jacob Abad,28.1872   68.5192,Saif Ul Islam,Abdul Waheed
ES2-SPR-01960,Shikarpur,Jacob Abad,27.94811   68.62723,Saif Ul Islam,Abdul Waheed
ES2-SPR-03191,Shikarpur,Jacob Abad,27.7977   68.6708,Saif Ul Islam,Abdul Waheed
ES2-SPR-03563,Shikarpur,Jacob Abad,27.95194   68.64459,Saif Ul Islam,Abdul Waheed
ES2-SPR-04074,Shikarpur,Jacob Abad,27.84659   68.80012,Saif Ul Islam,Abdul Waheed
EUS-GKI-04328,Shikarpur,Jacob Abad,27.8522531   68.894179,Saif Ul Islam,Abdul Waheed
EUS-QSK-04681,Shikarpur,Jacob Abad,28.158622   68.946438,Saif Ul Islam,Abdul Waheed
ES2-SPR-04963,Shikarpur,Jacob Abad,28.02128   68.62107,Saif Ul Islam,Abdul Waheed
ES2-KPM-05005,Shikarpur,Jacob Abad,27.92349   68.78048,Saif Ul Islam,Abdul Waheed
ES2-SPR-05416,Shikarpur,Jacob Abad,27.99228   68.59844,Saif Ul Islam,Abdul Waheed
ES2-SPR-05568,Shikarpur,Jacob Abad,27.93485   68.58782,Saif Ul Islam,Abdul Waheed
ES2-SPR-05620,Shikarpur,Jacob Abad,27.9776   68.68551,Saif Ul Islam,Abdul Waheed
ES2-SPR-05621,Shikarpur,Jacob Abad,27.95864   68.64986,Saif Ul Islam,Abdul Waheed
ES2-SPR-07447,Shikarpur,Jacob Abad,27.94034   68.63697,Saif Ul Islam,Abdul Waheed
ES2-SPR-07910,Shikarpur,Jacob Abad,27.96166   68.63422,Saif Ul Islam,Abdul Waheed
ES2-SPR-07917,Shikarpur,Jacob Abad,27.953344   68.622368,Saif Ul Islam,Abdul Waheed
ES2-SPR-08288,Shikarpur,Jacob Abad,27.94392   68.63792,Saif Ul Islam,Abdul Waheed
ES2-QBR-00579,Qambar,Larkana,27.5808   67.9995,Nadeem Arbani,Mohsin Ali
ES2-LKN-01091,Larkana - 1,Larkana,27.5532   68.22573,Nadeem Arbani,Mohsin Ali
ES2-LKN-01092,Larkana - 1,Larkana,27.54132   68.20121,Nadeem Arbani,Mohsin Ali
ES2-LKN-01093,Larkana - 1,Larkana,27.5576   68.2053,Nadeem Arbani,Mohsin Ali
ES2-QBR-01432,ShahdadKot,Larkana,27.7787   67.94265,Nadeem Arbani,Mohsin Ali
ES2-QBR-01693,Qambar,Larkana,27.6023   67.90925,Nadeem Arbani,Mohsin Ali
ES2-BDA-01713,Larkana - 2,Larkana,27.328682   68.026988,Nadeem Arbani,Mohsin Ali
ES2-LKN-01723,Larkana - 1,Larkana,27.54242   68.20504,Nadeem Arbani,Mohsin Ali
ES2-SDK-01850,ShahdadKot,Larkana,27.8517   67.90123,Nadeem Arbani,Mohsin Ali
ES2-LKN-01920,Larkana - 1,Larkana,27.561426   68.21012,Nadeem Arbani,Mohsin Ali
ES2-LKN-01965,Larkana - 1,Larkana,27.541   68.19278,Nadeem Arbani,Mohsin Ali
ES2-LKN-02195,Larkana - 1,Larkana,27.55802   68.193251,Nadeem Arbani,Mohsin Ali
ES2-WRH-02280,Qambar,Larkana,27.50175   67.91122,Nadeem Arbani,Mohsin Ali
ES2-QBR-02578,Qambar,Larkana,27.57981   67.84088,Nadeem Arbani,Mohsin Ali
ES2-LKN-02668,Larkana - 1,Larkana,27.5515   68.2185,Nadeem Arbani,Mohsin Ali
ES2-QBR-02671,Qambar,Larkana,27.5937   68.001,Nadeem Arbani,Mohsin Ali
ES2-SDK-02702,ShahdadKot,Larkana,27.84855   67.9175,Nadeem Arbani,Mohsin Ali
ES2-LKN-02734,Larkana - 1,Larkana,27.55549   68.21934,Nadeem Arbani,Mohsin Ali
ES2-QBR-02747,Qambar,Larkana,27.58773   68.00233,Nadeem Arbani,Mohsin Ali
ES2-SDK-03033,ShahdadKot,Larkana,27.84193   67.90594,Nadeem Arbani,Mohsin Ali
ES2-SDK-03034,ShahdadKot,Larkana,27.84006   67.89832,Nadeem Arbani,Mohsin Ali
ES2-LKN-03312,Larkana - 1,Larkana,27.54441   68.21127,Nadeem Arbani,Mohsin Ali
ES2-NSD-03433,Larkana - 2,Larkana,27.3786   67.92236,Nadeem Arbani,Mohsin Ali
ES2-BDA-03439,Larkana - 2,Larkana,27.33447   68.01902,Nadeem Arbani,Mohsin Ali
ES2-SDK-03632,ShahdadKot,Larkana,27.8856   67.6293,Nadeem Arbani,Mohsin Ali
ES2-LKN-03833,Qambar,Larkana,27.63551   68.11523,Nadeem Arbani,Mohsin Ali
ES2-SDK-04355,ShahdadKot,Larkana,27.85084   67.91042,Nadeem Arbani,Mohsin Ali
EUS-QSK-04654,ShahdadKot,Larkana,27.881404   68.184741,Nadeem Arbani,Mohsin Ali
EUS-QSK-04655,ShahdadKot,Larkana,27.82006   68.21823,Nadeem Arbani,Mohsin Ali
EUS-QSK-04656,Larkana - 2,Larkana,27.66199   68.19393,Nadeem Arbani,Mohsin Ali
EUS-QSK-04657,Larkana - 2,Larkana,27.72082   68.39632,Nadeem Arbani,Mohsin Ali
EUS-QSK-04659,Larkana - 2,Larkana,27.58112   68.33421,Nadeem Arbani,Mohsin Ali
EUS-QSK-04660,Larkana - 2,Larkana,27.38712   68.27863,Nadeem Arbani,Mohsin Ali
EUS-QSK-04662,Larkana - 2,Larkana,27.24678   68.12517,Nadeem Arbani,Mohsin Ali
EUS-QSK-04664,Larkana - 2,Larkana,27.28991   68.03054,Nadeem Arbani,Mohsin Ali
EUS-QSK-04665,Larkana - 2,Larkana,27.40428   67.99497,Nadeem Arbani,Mohsin Ali
EUS-QSK-04666,ShahdadKot,Larkana,27.90039   68.09003,Nadeem Arbani,Mohsin Ali
EUS-QSK-04667,ShahdadKot,Larkana,27.95077   68.05704,Nadeem Arbani,Mohsin Ali
EUS-QSK-04668,ShahdadKot,Larkana,27.92557   68.00937,Nadeem Arbani,Mohsin Ali
EUS-QSK-04669,ShahdadKot,Larkana,27.96153   67.89097,Nadeem Arbani,Mohsin Ali
EUS-QSK-04670,ShahdadKot,Larkana,27.91519   67.80808,Nadeem Arbani,Mohsin Ali
EUS-QSK-04671,ShahdadKot,Larkana,27.91532   67.73185,Nadeem Arbani,Mohsin Ali
EUS-QSK-04672,ShahdadKot,Larkana,27.84511   67.60513,Nadeem Arbani,Mohsin Ali
EUS-QSK-04673,ShahdadKot,Larkana,27.7844   67.73557,Nadeem Arbani,Mohsin Ali
EUS-QSK-04674,Qambar,Larkana,27.76495   67.84978,Nadeem Arbani,Mohsin Ali
EUS-QSK-04675,Qambar,Larkana,27.70262   67.78728,Nadeem Arbani,Mohsin Ali
EUS-QSK-04676,Qambar,Larkana,27.69186   67.88423,Nadeem Arbani,Mohsin Ali
EUS-QSK-04677,ShahdadKot,Larkana,27.80358   68.03715,Nadeem Arbani,Mohsin Ali
EUS-QSK-04678,ShahdadKot,Larkana,27.82137   67.44221,Nadeem Arbani,Mohsin Ali
EUS-QSK-04680,Qambar,Larkana,27.60778   67.64307,Nadeem Arbani,Mohsin Ali
EUS-QSK-04682,Qambar,Larkana,27.54459   67.55912,Nadeem Arbani,Mohsin Ali
EUS-QSK-04684,Qambar,Larkana,27.53524   67.75647,Nadeem Arbani,Mohsin Ali
EUS-QSK-04686,Qambar,Larkana,27.39568   67.71506,Nadeem Arbani,Mohsin Ali
EUS-QSK-04687,Qambar,Larkana,27.32298   67.75636,Nadeem Arbani,Mohsin Ali
EUS-QSK-04688,Larkana - 2,Larkana,27.540563   68.078297,Nadeem Arbani,Mohsin Ali
EUS-QSK-04689,Qambar,Larkana,27.5572   68.019,Nadeem Arbani,Mohsin Ali
EUS-QSK-04690,ShahdadKot,Larkana,27.9636   67.82716,Nadeem Arbani,Mohsin Ali
EUS-QSK-04691,ShahdadKot,Larkana,27.86226   67.77412,Nadeem Arbani,Mohsin Ali
EUS-QSK-04692,Qambar,Larkana,27.70522   67.74031,Nadeem Arbani,Mohsin Ali
EUS-QSK-04693,Qambar,Larkana,27.47464   67.69994,Nadeem Arbani,Mohsin Ali
ES2-LKN-04740,Qambar,Larkana,27.615887   68.008633,Nadeem Arbani,Mohsin Ali
ES2-LKN-04741,Qambar,Larkana,27.661905   68.019063,Nadeem Arbani,Mohsin Ali
ES2-BDA-05414,Larkana - 2,Larkana,27.38903   68.05972,Nadeem Arbani,Mohsin Ali
ES2-JCA-05521,ShahdadKot,Larkana,27.98807   67.96275,Nadeem Arbani,Mohsin Ali
ES2-LKN-05538,Qambar,Larkana,27.6718   68.06243,Nadeem Arbani,Mohsin Ali
ES2-LKN-05539,Qambar,Larkana,27.56039   67.93427,Nadeem Arbani,Mohsin Ali
ES2-LKN-05540,Larkana - 2,Larkana,27.72461   68.06435,Nadeem Arbani,Mohsin Ali
ES2-LKN-05541,Qambar,Larkana,27.60755   68.09195,Nadeem Arbani,Mohsin Ali
ES2-LKN-05542,Qambar,Larkana,27.55051   67.88631,Nadeem Arbani,Mohsin Ali
ES2-LKN-05706,Larkana - 2,Larkana,27.54249   68.26134,Nadeem Arbani,Mohsin Ali
ES2-LKN-05707,Larkana - 1,Larkana,27.57896   68.21017,Nadeem Arbani,Mohsin Ali
ES2-LKN-05710,Qambar,Larkana,27.55891   68.05866,Nadeem Arbani,Mohsin Ali
ES2-LKN-05712,Larkana - 1,Larkana,27.51792   68.20316,Nadeem Arbani,Mohsin Ali
ES2-LKN-05713,Larkana - 2,Larkana,27.693108   68.338937,Nadeem Arbani,Mohsin Ali
ES2-LKN-05785,Larkana - 2,Larkana,27.676592   68.365763,Nadeem Arbani,Mohsin Ali
ES2-RTD-05931,Larkana - 2,Larkana,27.805779   68.295833,Nadeem Arbani,Mohsin Ali
ES2-NAU-06061,Larkana - 2,Larkana,27.66281   68.37827,Nadeem Arbani,Mohsin Ali
ES2-LKN-06089,Larkana - 1,Larkana,27.54846   68.22575,Nadeem Arbani,Mohsin Ali
ES2-LKN-06647,Larkana - 2,Larkana,27.30323   68.08904,Nadeem Arbani,Mohsin Ali
ES2-SDK-06731,ShahdadKot,Larkana,27.851465   67.90633,Nadeem Arbani,Mohsin Ali
ES2-SDK-06737,ShahdadKot,Larkana,27.85595   67.91628,Nadeem Arbani,Mohsin Ali
ES2-SDK-06738,ShahdadKot,Larkana,27.8404   67.91059,Nadeem Arbani,Mohsin Ali
ES2-LKN-06828,Larkana - 1,Larkana,27.54812   68.23136,Nadeem Arbani,Mohsin Ali
ES2-LKN-07118,Larkana - 1,Larkana,27.56983   68.20231,Nadeem Arbani,Mohsin Ali
ES2-SDK-07210,ShahdadKot,Larkana,27.84729   67.89565,Nadeem Arbani,Mohsin Ali
ES2-LKN-07442,Larkana - 2,Larkana,27.59862   68.22546,Nadeem Arbani,Mohsin Ali
ES2-LKN-07446,Larkana - 1,Larkana,27.56981   68.21909,Nadeem Arbani,Mohsin Ali
ES2-LKN-07525,Larkana - 1,Larkana,27.504   68.19919,Nadeem Arbani,Mohsin Ali
ES2-LKN-07526,Larkana - 1,Larkana,27.5786   68.20499,Nadeem Arbani,Mohsin Ali
ES2-QBR-08936,ShahdadKot,Larkana,27.757241   68.09155,Nadeem Arbani,Mohsin Ali
ES2-SDK-09205,ShahdadKot,Larkana,27.856377   67.922656,Nadeem Arbani,Mohsin Ali
ES2-QBR-09561,Qambar,Larkana,27.583559   68.008611,Nadeem Arbani,Mohsin Ali
ES2-UTM-09599,Dera Allah Yar,Jacob Abad,28.168459   68.04019,Saif Ul Islam,Abdul Waheed
ES2-DMJ-09575,Dera Allah Yar,Jacob Abad,28.54131   68.22804,Saif Ul Islam,Abdul Waheed
ES2-UTM-09579,Dera Allah Yar,Jacob Abad,28.186312   68.050871,Saif Ul Islam,Abdul Waheed
ES2-DRK-06471,Ghotki,Sukkur,28.04661   69.6896,Abdul Rasool,Shahid Ahmed
ES2-KRP-06430,Sukkur,Sukkur,27.50689   68.75908,Abdul Rasool,Shahid Ahmed
ES2-MHP-06699,Ranipur,Sukkur,27.05242   68.380181,Abdul Rasool,Shahid Ahmed
ES2-MPM-04934,Ghotki,Sukkur,28.02901   69.60287,Abdul Rasool,Shahid Ahmed
ES2-NSF-08671,Nausheroferoz,Sukkur,26.83854   68.12639,Abdul Rasool,Shahid Ahmed
ES2-GKI-08576,Ghotki,Sukkur,28.17145   69.60152,Abdul Rasool,Shahid Ahmed
ES2-LKN-08761,Larkana - 2,Larkana,27.540354   68.20959,Nadeem Arbani,Mohsin Ali
ES2-MPM-08426,Ghotki,Sukkur,28.0124   69.5639,Abdul Rasool,Shahid Ahmed
ES2-SDQ-09753,Sadiq Abad,Sukkur,28.295707   70.140008,Abdul Rasool,Shahid Ahmed
ES2-SUK-09749,Sukkur,Sukkur,27.736102   68.838559,Abdul Rasool,Shahid Ahmed
ES2-LKN-09735,Larkana - 1,Larkana,27.548626   68.214098,Nadeem Arbani,Mohsin Ali
ES2-LKN-09557,Larkana - 1,Larkana,27.537899   68.208208,Nadeem Arbani,Mohsin Ali
ES2-GMT-09746,Ranipur,Sukkur,27.336036   68.532201,Abdul Rasool,Shahid Ahmed
ES2-PQL-09655,Ghotki,Sukkur,27.7848   69.4215,Abdul Rasool,Shahid Ahmed
ES2-DMJ-09751,Dera Allah Yar,Jacob Abad,28.5583   68.2136,Saif Ul Islam,Abdul Waheed
ES2-WRH-09598,Qambar,Larkana,27.446769   67.793217,Nadeem Arbani,Mohsin Ali
ES2-NSF-09736,Nausheroferoz,Sukkur,26.8345   68.1209,Abdul Rasool,Shahid Ahmed
ES2-SUK-09789,Sukkur,Sukkur,27.736021   68.838469,Abdul Rasool,Shahid Ahmed
ES2-LKN-09593,Larkana - 1,Larkana,27.56013   68.214974,Nadeem Arbani,Mohsin Ali
ES2-SUK-09788,Sukkur,Sukkur,27.70634   68.83991,Abdul Rasool,Shahid Ahmed
ES2-CND-09801,Ranipur,Sukkur,27.160467   68.964322,Abdul Rasool,Shahid Ahmed
ES2-DRK-09814,Ghotki,Sukkur,28.080399   69.711139,Abdul Rasool,Shahid Ahmed
ES2-RYK-08638,Sadiq Abad,Sukkur,28.36   70.01,Abdul Rasool,Shahid Ahmed
